place_name,place_id,level,hpi_type,hpi_flavor,frequency,yr,period,date,index_sa
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2000,1,2000-03-01,136.47
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2000,1,2000-03-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2000,2,2000-06-01,138.76
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2000,2,2000-06-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2000,3,2000-09-01,140.93
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2000,3,2000-09-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2000,4,2000-12-01,143.4
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2000,4,2000-12-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2001,1,2001-03-01,146.04
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2001,1,2001-03-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2001,2,2001-06-01,148.39
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2001,2,2001-06-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2001,3,2001-09-01,150.65
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2001,3,2001-09-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2001,4,2001-12-01,153.03
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2001,4,2001-12-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2002,1,2002-03-01,155.54
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2002,1,2002-03-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2002,2,2002-06-01,158.4
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2002,2,2002-06-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2002,3,2002-09-01,161.42
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2002,3,2002-09-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2002,4,2002-12-01,164.67
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2002,4,2002-12-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2003,1,2003-03-01,167.55
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2003,1,2003-03-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2003,2,2003-06-01,170.24
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2003,2,2003-06-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2003,3,2003-09-01,173.6
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2003,3,2003-09-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2003,4,2003-12-01,177.5
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2003,4,2003-12-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2004,1,2004-03-01,181.44
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2004,1,2004-03-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2004,2,2004-06-01,186.01
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2004,2,2004-06-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2004,3,2004-09-01,190.81
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2004,3,2004-09-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2004,4,2004-12-01,195.51
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2004,4,2004-12-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2005,1,2005-03-01,200.36
United States,USA,USA or Census Division,manufactured,purchase-only,quarterly,2005,1,2005-03-01,NA
United States,USA,USA or Census Division,traditional,purchase-only,quarterly,2005,2,2005-06-01,205.66
