place_name,place_id,level,hpi_type,hpi_flavor,frequency,yr,period,date,index_sa
Utah,UT,State,traditional,purchase-only,quarterly,2000,1,2000-03-01,190.41
Utah,UT,State,traditional,purchase-only,quarterly,2000,2,2000-06-01,191.2
Utah,UT,State,traditional,purchase-only,quarterly,2000,3,2000-09-01,193.05
Utah,UT,State,traditional,purchase-only,quarterly,2000,4,2000-12-01,192.86
Utah,UT,State,traditional,purchase-only,quarterly,2001,1,2001-03-01,194.43
Utah,UT,State,traditional,purchase-only,quarterly,2001,2,2001-06-01,195.05
Utah,UT,State,traditional,purchase-only,quarterly,2001,3,2001-09-01,195.32
Utah,UT,State,traditional,purchase-only,quarterly,2001,4,2001-12-01,196.37
Utah,UT,State,traditional,purchase-only,quarterly,2002,1,2002-03-01,197.3
Utah,UT,State,traditional,purchase-only,quarterly,2002,2,2002-06-01,197.38
Utah,UT,State,traditional,purchase-only,quarterly,2002,3,2002-09-01,198.09
Utah,UT,State,traditional,purchase-only,quarterly,2002,4,2002-12-01,201.28
Utah,UT,State,traditional,purchase-only,quarterly,2003,1,2003-03-01,200.41
Utah,UT,State,traditional,purchase-only,quarterly,2003,2,2003-06-01,203.2
Utah,UT,State,traditional,purchase-only,quarterly,2003,3,2003-09-01,204.88
Utah,UT,State,traditional,purchase-only,quarterly,2003,4,2003-12-01,205.44
Utah,UT,State,traditional,purchase-only,quarterly,2004,1,2004-03-01,209.19
Utah,UT,State,traditional,purchase-only,quarterly,2004,2,2004-06-01,212.87
Utah,UT,State,traditional,purchase-only,quarterly,2004,3,2004-09-01,216.46
Utah,UT,State,traditional,purchase-only,quarterly,2004,4,2004-12-01,221.96
Utah,UT,State,traditional,purchase-only,quarterly,2005,1,2005-03-01,226.7
Utah,UT,State,traditional,purchase-only,quarterly,2005,2,2005-06-01,232.91
Utah,UT,State,traditional,purchase-only,quarterly,2005,3,2005-09-01,242.97
Utah,UT,State,traditional,purchase-only,quarterly,2005,4,2005-12-01,253.25
Utah,UT,State,traditional,purchase-only,quarterly,2006,1,2006-03-01,262.79
Utah,UT,State,traditional,purchase-only,quarterly,2006,2,2006-06-01,273.13
Utah,UT,State,traditional,purchase-only,quarterly,2006,3,2006-09-01,283.49
Utah,UT,State,traditional,purchase-only,quarterly,2006,4,2006-12-01,296.03
Utah,UT,State,traditional,purchase-only,quarterly,2007,1,2007-03-01,306.01
Utah,UT,State,traditional,purchase-only,quarterly,2007,2,2007-06-01,314.57
Utah,UT,State,traditional,purchase-only,quarterly,2007,3,2007-09-01,316.39
Utah,UT,State,traditional,purchase-only,quarterly,2007,4,2007-12-01,312.32
Utah,UT,State,traditional,purchase-only,quarterly,2008,1,2008-03-01,310.43
Utah,UT,State,traditional,purchase-only,quarterly,2008,2,2008-06-01,303.44
Utah,UT,State,traditional,purchase-only,quarterly,2008,3,2008-09-01,294.29
Utah,UT,State,traditional,purchase-only,quarterly,2008,4,2008-12-01,283.78
Utah,UT,State,traditional,purchase-only,quarterly,2009,1,2009-03-01,277.64
Utah,UT,State,traditional,purchase-only,quarterly,2009,2,2009-06-01,266.87
Utah,UT,State,traditional,purchase-only,quarterly,2009,3,2009-09-01,263.53
Utah,UT,State,traditional,purchase-only,quarterly,2009,4,2009-12-01,261.87
Utah,UT,State,traditional,purchase-only,quarterly,2010,1,2010-03-01,254.7
Utah,UT,State,traditional,purchase-only,quarterly,2010,2,2010-06-01,255.05
Utah,UT,State,traditional,purchase-only,quarterly,2010,3,2010-09-01,249.29
Utah,UT,State,traditional,purchase-only,quarterly,2010,4,2010-12-01,247.58
Utah,UT,State,traditional,purchase-only,quarterly,2011,1,2011-03-01,236.95
Utah,UT,State,traditional,purchase-only,quarterly,2011,2,2011-06-01,234.25
Utah,UT,State,traditional,purchase-only,quarterly,2011,3,2011-09-01,236.82
Utah,UT,State,traditional,purchase-only,quarterly,2011,4,2011-12-01,236.63
Utah,UT,State,traditional,purchase-only,quarterly,2012,1,2012-03-01,243.16
Utah,UT,State,traditional,purchase-only,quarterly,2012,2,2012-06-01,249.24
Utah,UT,State,traditional,purchase-only,quarterly,2012,3,2012-09-01,252.72
Utah,UT,State,traditional,purchase-only,quarterly,2012,4,2012-12-01,260.94
Utah,UT,State,traditional,purchase-only,quarterly,2013,1,2013-03-01,267.22
Utah,UT,State,traditional,purchase-only,quarterly,2013,2,2013-06-01,274.65
Utah,UT,State,traditional,purchase-only,quarterly,2013,3,2013-09-01,280.81
Utah,UT,State,traditional,purchase-only,quarterly,2013,4,2013-12-01,282.06
Utah,UT,State,traditional,purchase-only,quarterly,2014,1,2014-03-01,285.67
Utah,UT,State,traditional,purchase-only,quarterly,2014,2,2014-06-01,287.33
Utah,UT,State,traditional,purchase-only,quarterly,2014,3,2014-09-01,289.15
Utah,UT,State,traditional,purchase-only,quarterly,2014,4,2014-12-01,293.85
Utah,UT,State,traditional,purchase-only,quarterly,2015,1,2015-03-01,300.13
Utah,UT,State,traditional,purchase-only,quarterly,2015,2,2015-06-01,302.46
Utah,UT,State,traditional,purchase-only,quarterly,2015,3,2015-09-01,307.93
Utah,UT,State,traditional,purchase-only,quarterly,2015,4,2015-12-01,315.84
Utah,UT,State,traditional,purchase-only,quarterly,2016,1,2016-03-01,322
Utah,UT,State,traditional,purchase-only,quarterly,2016,2,2016-06-01,327.62
Utah,UT,State,traditional,purchase-only,quarterly,2016,3,2016-09-01,334.76
Utah,UT,State,traditional,purchase-only,quarterly,2016,4,2016-12-01,340.8
Utah,UT,State,traditional,purchase-only,quarterly,2017,1,2017-03-01,347.82
Utah,UT,State,traditional,purchase-only,quarterly,2017,2,2017-06-01,356.54
Utah,UT,State,traditional,purchase-only,quarterly,2017,3,2017-09-01,365.92
Utah,UT,State,traditional,purchase-only,quarterly,2017,4,2017-12-01,374.32
Utah,UT,State,traditional,purchase-only,quarterly,2018,1,2018-03-01,384.65
Utah,UT,State,traditional,purchase-only,quarterly,2018,2,2018-06-01,393.95
Utah,UT,State,traditional,purchase-only,quarterly,2018,3,2018-09-01,400.8
Utah,UT,State,traditional,purchase-only,quarterly,2018,4,2018-12-01,410.06
Utah,UT,State,traditional,purchase-only,quarterly,2019,1,2019-03-01,416.45
Utah,UT,State,traditional,purchase-only,quarterly,2019,2,2019-06-01,423.85
Utah,UT,State,traditional,purchase-only,quarterly,2019,3,2019-09-01,433.71
Utah,UT,State,traditional,purchase-only,quarterly,2019,4,2019-12-01,443.12
Utah,UT,State,traditional,purchase-only,quarterly,2020,1,2020-03-01,456.93
Utah,UT,State,traditional,purchase-only,quarterly,2020,2,2020-06-01,459.16
Utah,UT,State,traditional,purchase-only,quarterly,2020,3,2020-09-01,481.43
Utah,UT,State,traditional,purchase-only,quarterly,2020,4,2020-12-01,512.69
Utah,UT,State,traditional,purchase-only,quarterly,2021,1,2021-03-01,545
Utah,UT,State,traditional,purchase-only,quarterly,2021,2,2021-06-01,584.92
Utah,UT,State,traditional,purchase-only,quarterly,2021,3,2021-09-01,622.55
Utah,UT,State,traditional,purchase-only,quarterly,2021,4,2021-12-01,651.73
Utah,UT,State,traditional,purchase-only,quarterly,2022,1,2022-03-01,686.5
Utah,UT,State,traditional,purchase-only,quarterly,2022,2,2022-06-01,703.55
Utah,UT,State,traditional,purchase-only,quarterly,2022,3,2022-09-01,684.46
Utah,UT,State,traditional,purchase-only,quarterly,2022,4,2022-12-01,674.13
Utah,UT,State,traditional,purchase-only,quarterly,2023,1,2023-03-01,659.55
Utah,UT,State,traditional,purchase-only,quarterly,2023,2,2023-06-01,671.65
Utah,UT,State,traditional,purchase-only,quarterly,2023,3,2023-09-01,684.2
Utah,UT,State,traditional,purchase-only,quarterly,2023,4,2023-12-01,685.96
Utah,UT,State,traditional,purchase-only,quarterly,2024,1,2024-03-01,694.34
Utah,UT,State,traditional,purchase-only,quarterly,2024,2,2024-06-01,699.55
Utah,UT,State,traditional,purchase-only,quarterly,2024,3,2024-09-01,707.63
Utah,UT,State,traditional,purchase-only,quarterly,2024,4,2024-12-01,721.42
Utah,UT,State,traditional,purchase-only,quarterly,2025,1,2025-03-01,724.88
Utah,UT,State,traditional,purchase-only,quarterly,2025,2,2025-06-01,718.91
