place_name,place_id,level,hpi_type,hpi_flavor,frequency,yr,period,date,index_sa
West Virginia,WV,State,traditional,purchase-only,quarterly,2000,1,2000-03-01,136.7
West Virginia,WV,State,traditional,purchase-only,quarterly,2000,2,2000-06-01,137.69
West Virginia,WV,State,traditional,purchase-only,quarterly,2000,3,2000-09-01,137.66
West Virginia,WV,State,traditional,purchase-only,quarterly,2000,4,2000-12-01,137.68
West Virginia,WV,State,traditional,purchase-only,quarterly,2001,1,2001-03-01,140.51
West Virginia,WV,State,traditional,purchase-only,quarterly,2001,2,2001-06-01,137.42
West Virginia,WV,State,traditional,purchase-only,quarterly,2001,3,2001-09-01,140.93
West Virginia,WV,State,traditional,purchase-only,quarterly,2001,4,2001-12-01,142.49
West Virginia,WV,State,traditional,purchase-only,quarterly,2002,1,2002-03-01,144.61
West Virginia,WV,State,traditional,purchase-only,quarterly,2002,2,2002-06-01,145.29
West Virginia,WV,State,traditional,purchase-only,quarterly,2002,3,2002-09-01,145.89
West Virginia,WV,State,traditional,purchase-only,quarterly,2002,4,2002-12-01,149.15
West Virginia,WV,State,traditional,purchase-only,quarterly,2003,1,2003-03-01,150.88
West Virginia,WV,State,traditional,purchase-only,quarterly,2003,2,2003-06-01,153.23
West Virginia,WV,State,traditional,purchase-only,quarterly,2003,3,2003-09-01,153.46
West Virginia,WV,State,traditional,purchase-only,quarterly,2003,4,2003-12-01,154.81
West Virginia,WV,State,traditional,purchase-only,quarterly,2004,1,2004-03-01,158.37
West Virginia,WV,State,traditional,purchase-only,quarterly,2004,2,2004-06-01,160.89
West Virginia,WV,State,traditional,purchase-only,quarterly,2004,3,2004-09-01,165.82
West Virginia,WV,State,traditional,purchase-only,quarterly,2004,4,2004-12-01,169.6
West Virginia,WV,State,traditional,purchase-only,quarterly,2005,1,2005-03-01,169.06
West Virginia,WV,State,traditional,purchase-only,quarterly,2005,2,2005-06-01,174.57
West Virginia,WV,State,traditional,purchase-only,quarterly,2005,3,2005-09-01,178.54
West Virginia,WV,State,traditional,purchase-only,quarterly,2005,4,2005-12-01,180.86
West Virginia,WV,State,traditional,purchase-only,quarterly,2006,1,2006-03-01,183.14
West Virginia,WV,State,traditional,purchase-only,quarterly,2006,2,2006-06-01,183.8
West Virginia,WV,State,traditional,purchase-only,quarterly,2006,3,2006-09-01,184.55
West Virginia,WV,State,traditional,purchase-only,quarterly,2006,4,2006-12-01,184.81
West Virginia,WV,State,traditional,purchase-only,quarterly,2007,1,2007-03-01,190.52
West Virginia,WV,State,traditional,purchase-only,quarterly,2007,2,2007-06-01,188.85
West Virginia,WV,State,traditional,purchase-only,quarterly,2007,3,2007-09-01,190.9
West Virginia,WV,State,traditional,purchase-only,quarterly,2007,4,2007-12-01,189.44
West Virginia,WV,State,traditional,purchase-only,quarterly,2008,1,2008-03-01,189.03
West Virginia,WV,State,traditional,purchase-only,quarterly,2008,2,2008-06-01,190.98
West Virginia,WV,State,traditional,purchase-only,quarterly,2008,3,2008-09-01,185.76
West Virginia,WV,State,traditional,purchase-only,quarterly,2008,4,2008-12-01,186.67
West Virginia,WV,State,traditional,purchase-only,quarterly,2009,1,2009-03-01,184.38
West Virginia,WV,State,traditional,purchase-only,quarterly,2009,2,2009-06-01,186.36
West Virginia,WV,State,traditional,purchase-only,quarterly,2009,3,2009-09-01,184.82
West Virginia,WV,State,traditional,purchase-only,quarterly,2009,4,2009-12-01,182.77
West Virginia,WV,State,traditional,purchase-only,quarterly,2010,1,2010-03-01,181.42
West Virginia,WV,State,traditional,purchase-only,quarterly,2010,2,2010-06-01,185.14
West Virginia,WV,State,traditional,purchase-only,quarterly,2010,3,2010-09-01,186.21
West Virginia,WV,State,traditional,purchase-only,quarterly,2010,4,2010-12-01,185.99
West Virginia,WV,State,traditional,purchase-only,quarterly,2011,1,2011-03-01,183.6
West Virginia,WV,State,traditional,purchase-only,quarterly,2011,2,2011-06-01,178.81
West Virginia,WV,State,traditional,purchase-only,quarterly,2011,3,2011-09-01,181.81
West Virginia,WV,State,traditional,purchase-only,quarterly,2011,4,2011-12-01,181.19
West Virginia,WV,State,traditional,purchase-only,quarterly,2012,1,2012-03-01,191.85
West Virginia,WV,State,traditional,purchase-only,quarterly,2012,2,2012-06-01,183.88
West Virginia,WV,State,traditional,purchase-only,quarterly,2012,3,2012-09-01,185.56
West Virginia,WV,State,traditional,purchase-only,quarterly,2012,4,2012-12-01,189.93
West Virginia,WV,State,traditional,purchase-only,quarterly,2013,1,2013-03-01,189.85
West Virginia,WV,State,traditional,purchase-only,quarterly,2013,2,2013-06-01,190.51
West Virginia,WV,State,traditional,purchase-only,quarterly,2013,3,2013-09-01,189.28
West Virginia,WV,State,traditional,purchase-only,quarterly,2013,4,2013-12-01,191.27
West Virginia,WV,State,traditional,purchase-only,quarterly,2014,1,2014-03-01,196.99
West Virginia,WV,State,traditional,purchase-only,quarterly,2014,2,2014-06-01,196.08
West Virginia,WV,State,traditional,purchase-only,quarterly,2014,3,2014-09-01,199.42
West Virginia,WV,State,traditional,purchase-only,quarterly,2014,4,2014-12-01,191.9
West Virginia,WV,State,traditional,purchase-only,quarterly,2015,1,2015-03-01,195.63
West Virginia,WV,State,traditional,purchase-only,quarterly,2015,2,2015-06-01,199.53
West Virginia,WV,State,traditional,purchase-only,quarterly,2015,3,2015-09-01,200.11
West Virginia,WV,State,traditional,purchase-only,quarterly,2015,4,2015-12-01,203.69
West Virginia,WV,State,traditional,purchase-only,quarterly,2016,1,2016-03-01,200.96
West Virginia,WV,State,traditional,purchase-only,quarterly,2016,2,2016-06-01,203.93
West Virginia,WV,State,traditional,purchase-only,quarterly,2016,3,2016-09-01,202.67
West Virginia,WV,State,traditional,purchase-only,quarterly,2016,4,2016-12-01,203.44
West Virginia,WV,State,traditional,purchase-only,quarterly,2017,1,2017-03-01,202.01
West Virginia,WV,State,traditional,purchase-only,quarterly,2017,2,2017-06-01,204.01
West Virginia,WV,State,traditional,purchase-only,quarterly,2017,3,2017-09-01,203.8
West Virginia,WV,State,traditional,purchase-only,quarterly,2017,4,2017-12-01,204.73
West Virginia,WV,State,traditional,purchase-only,quarterly,2018,1,2018-03-01,207.31
West Virginia,WV,State,traditional,purchase-only,quarterly,2018,2,2018-06-01,208.4
West Virginia,WV,State,traditional,purchase-only,quarterly,2018,3,2018-09-01,209.97
West Virginia,WV,State,traditional,purchase-only,quarterly,2018,4,2018-12-01,204.99
West Virginia,WV,State,traditional,purchase-only,quarterly,2019,1,2019-03-01,215.53
West Virginia,WV,State,traditional,purchase-only,quarterly,2019,2,2019-06-01,214.55
West Virginia,WV,State,traditional,purchase-only,quarterly,2019,3,2019-09-01,216.36
West Virginia,WV,State,traditional,purchase-only,quarterly,2019,4,2019-12-01,220.61
West Virginia,WV,State,traditional,purchase-only,quarterly,2020,1,2020-03-01,217.51
West Virginia,WV,State,traditional,purchase-only,quarterly,2020,2,2020-06-01,218.32
West Virginia,WV,State,traditional,purchase-only,quarterly,2020,3,2020-09-01,226.53
West Virginia,WV,State,traditional,purchase-only,quarterly,2020,4,2020-12-01,234.25
West Virginia,WV,State,traditional,purchase-only,quarterly,2021,1,2021-03-01,240.34
West Virginia,WV,State,traditional,purchase-only,quarterly,2021,2,2021-06-01,248.19
West Virginia,WV,State,traditional,purchase-only,quarterly,2021,3,2021-09-01,257.89
West Virginia,WV,State,traditional,purchase-only,quarterly,2021,4,2021-12-01,262.93
West Virginia,WV,State,traditional,purchase-only,quarterly,2022,1,2022-03-01,274.31
West Virginia,WV,State,traditional,purchase-only,quarterly,2022,2,2022-06-01,282.55
West Virginia,WV,State,traditional,purchase-only,quarterly,2022,3,2022-09-01,279.18
West Virginia,WV,State,traditional,purchase-only,quarterly,2022,4,2022-12-01,277.42
West Virginia,WV,State,traditional,purchase-only,quarterly,2023,1,2023-03-01,289.61
West Virginia,WV,State,traditional,purchase-only,quarterly,2023,2,2023-06-01,289.18
West Virginia,WV,State,traditional,purchase-only,quarterly,2023,3,2023-09-01,300.26
West Virginia,WV,State,traditional,purchase-only,quarterly,2023,4,2023-12-01,311.59
West Virginia,WV,State,traditional,purchase-only,quarterly,2024,1,2024-03-01,297.31
West Virginia,WV,State,traditional,purchase-only,quarterly,2024,2,2024-06-01,321.16
West Virginia,WV,State,traditional,purchase-only,quarterly,2024,3,2024-09-01,315.31
West Virginia,WV,State,traditional,purchase-only,quarterly,2024,4,2024-12-01,324.55
West Virginia,WV,State,traditional,purchase-only,quarterly,2025,1,2025-03-01,325.44
West Virginia,WV,State,traditional,purchase-only,quarterly,2025,2,2025-06-01,331.22
West Virginia,WV,State,traditional,purchase-only,quarterly,2025,3,2025-09-01,333.24
